Designator,Mid X,Mid Y,Rotation,Layer
C1,10.3625,-22.8,270,top
C2,20.2,-9.35,0,top
FPC1,24.9125,-61.45,90,top
FPC2,38.6,-14.9125,0,top
L1,11.8,-9.35,180,top
Q1,86,-6.94,180,top
Q10,93,-41.44,180,top
Q11,86,-44.94,180,top
Q12,34.2625,-27.7,180,top
Q2,93,-10.44,180,top
Q3,86,-13.94,180,top
Q4,93,-17.44,180,top
Q5,86,-23.94,180,top
Q6,93,-27.44,180,top
Q7,86,-30.94,180,top
Q8,93,-34.44,180,top
Q9,86,-37.94,180,top
R1,16,-15.75,270,top
R13,113.5,-75.3,180,top
R14,104.5,-75.3,0,top
R2,19.8625,-15.7,90,top
U4,11.8625,-16,90,top
